title,review,name,rating
Two lost ours of my life,Unbelievable. Outrageous. This is not a movie. Pure garbige. What a waste of time!!!,Deadpool 2,2
Don't understand the hate,"Seems like all the other commenters haven't actually seen this movie and are just upset that it's a remake. Yes, it's a remake, but it's its own movie, too. ,As someone who HAS seen this (and loves the original), I thought it stood on its own, differentiated itself nicely from the original while also updating the story in a way that feels timely and fresh. I also found it surprisingly funny, sweet, heartfelt, and utterly enjoyable. A great change of pace from all the cynical, mean-spirited comedies these days and endless parade of Marvel movies.",Overboard,10
UNparalleled,"You've doubtless heard fans rave and rave about this show, and may have even checked it out. The camp is sharply divided, people either absolutely love it, or tend to just ""not get it."" In that sense it may not be for everyone (great television, and great art in general, rarely is), and to each his own. But after watching each season multiple times, I can easily say that it is the funniest show that I have ever seen by an ENORMOUS margin. Even after many repeat viewings, I still end up in tears all the time.,DVD treats this series well simply because it suits itself to rapid digestion (and after getting hooked, you won't be able to get up). The writers include many, many running gags that persist through entire seasons, or even the entire series (""I've made a huge mistake."" ""Her?""). The entire cast is extremely WELL cast and everyone's comedic timing is spot on. The real stars are David Cross as Tobias, and Will Arnett as GOB. Their physical comedy is drop dead hilarious as well. But Jessica Walters and Jeffrey Tambor are phenomenal, the former most especially in the third season.,As others have stated there is no laugh track and this is part of what throws some of the ""we don't get it"" camp off. The humor is very fast paced as well, and many of the biggest laughs are very subtle physical comedy, or a line of dialog that is dropped in the midst of a conversation. Some of the music that was written for the show is absolutely hilarious as well, especially the song that plays often when George Micheal is put in an awkward (sexual) situation (""whatcha trying to say to me??"").,Start with season 1, give it 4 episodes (go through at least the episode ""key decisions"" which I believe is ep 4). If you're not hooked, or at least intrigued by then, its likely you wont be at all. But if you're like me, and MANY others, you'll find that you've just stumbled upon one of the greatest shows ever made. VERY highly recommended. 10/10",Arrested Development,10
best comedy on TV today,"this comedy is smart where so many others are not. its one of the few shows on today that you find DO NOT have a laugh track which alone makes it unique, but with the excellent writing and acting make it a refreshing and hilarious change. after a few episodes, it all makes sense and is that much funnier once you know the characters and their very individual quirks.,this show deserved all of the awards it won plus a few more just to make sure it gets noticed. its been voted TV-lands ""future classic"" after only a single season if thats any clue to those who haven't seen it yet. the dry acting of jason bateman and the voice over by ron howard are both stellar and add greatly to the shows overall style.,watch this show as soon as it begins again (nov 7, 2004 after the simpsons) you wont be sorry.",Arrested Development,
HI-Larious as Well As Intelligent,"In this age of lazily-conceived, hastily-produced, fill-in-the-blank reality shows that the FOX network seems to corner the market on, it's refreshing to see them invest in a show that doesn't fit a clichéd formula and challenges the audience's intellect with hilarious results.,Previously, I had written off this show without giving it a chance, assuming that it's just another show about rich people with problems, a la ""The OC"". It's too bad I didn't give it a chance because I just happened to watch a random episode right while waiting for ""Malcom in the Middle"". Little did I expect to laugh so hard at George Michael continuously wearing a muscle suit just because his COUSIN. Maebe, gave him a passing compliment. And the absurdity of the situation was amplified by Ron Howard's deadpan narration of the episode, giving it the seriousness the situation doesn't deserve.,The show was still confusing because I wasn't clear on all the relationships and the origninating humor that the episodes look back to. Good think FOX did a marathon of the show in order to set me straight.,Bottom line, this show did not win all those Emmies for nothing. It could give Frasier, Friends and Seinfeld a run for their money any day. Let's hope the Emmys shielded the show from the FOX cancellation bug that afflicted other good shows such as ""Action"", ""Titus"", ""Greg The Bunny"" and ESPECIALLY ""Family Guy"".,**** out of ****",Arrested Development,
"I did expect it to be worse than the first one, but my expectations were wildly exceeded","While I doubted that they could make a better movie than the first Deadpool, we humans are mostly hopeful creatures, so I was secretly hoping it would be at least similarly entertaining. 
Nope! 
That was maybe the worst movie I've seen in the last 12 months, after The Last Jedi. Very forced, almost all jokes fell flat, even TJ was extremely unfunny. Stupid plot, pacing basically nonexistent, boring af. I found myself fighting not to fall asleep.,Pity.",Deadpool 2,1
Just when you though the Marvel movies couldnt get worse...,"This is easily the worst Marvel mutant movie made to date. Not funny in any way unless you're about 10 years old. The story is asinine and writing was something out of a high school production. ,Also, the depiction of the comic characters is one of the worst in any movie so far. I am a big fan of Domino and Cable but I hated everything about them in this movie. They are nothing like the books I read back in the 90s and 2000s. Cable was completely ruined and Domino is now a ditsy clown. They couldn't have selected a worse actor for the character for Nathan. He was so out of place with the written character that you might as well had given the roll to Ben Stiller. That actor needs to be replaced immediately.",Deadpool 2,1
Riddle with swj crap,"Really enjoyed the first deadpool but this one .. meh.
They dialed up the same jokes from the first movie and threw in a bunch of swj narratives. One funny part is the black chick who's power is 'luck' she basically does nothing but wins constantly.. funny because that's how most female characters are these days..",Deadpool 2,1
Love seeing MI GENTE,"From someone who is a fan of the original and actually has seen this remake, I can honestly say I enjoyed this film. It was a lot of fun, filled with heartfelt and genuinely funny moments. I LOVED that this starred a lot of popular Mexican actors, like Eugenio Derbez, and showcased what they can do to a main stream American audience. They were able to make me laugh in English and Spanish and I appreciated that their conversations were authentic and relatable to everyone that sees it. Definitely not one to miss!",Overboard,10
Not funny at all tbh,"Not funny at all. The actors had no chemistry, Anna Farris tried but it was a fail. Eugenio was okay. Mediocre.",Overboard,5
Hilarious comedy!,"Probably the best show of the 2003 season, and the best new comedy in years. It's very hard to describe, since the comedy is entirely character-based, not plot- or wisecrack-based.,Basically, it's the story of the Bluth family, developers who are in bankruptcy with the father in prison for fraud.  One son, Michael, tries to be responsible and keep things going, while the rest of the group is entirely self-centered and can't seem to focus on the fact they are broke and in disgrace.,The various family members go off in various directions:  George (GOB) fancies himself a magician, Buster is a momma's boy, Lindsay goes off supporting odd causes, Lindsay's husband Tobias fancies himself an actor. It's a show you need to watch closely, but the laughs are all over the place, from unexpected directions.",Arrested Development,
Am I watching the same show you guys are watching?,"OK, seriously, after reading the recent past reviews of the show am starting to ask myself if you people are even giving the show at least five minutes of your time before rushing online to bash it. You guys are saying that season 2 is going downhill yet your not even explaining why the this season is so inferior to the first. I've seen the second season and I have to say it right on par with the first with more funny twist and situations that Michael and the Bluths have to deal with. Yes they changed some of the story lines now (George Sr. on the run, Gob taking over the company, Buster threating to join the army, and so forth) but THATS HOW SEASONS GO. If they kept the same storyline from the first the show would've haven't gotten repetitive before the first two episodes. And beside the show still retains it wit and subtle humor from the first show while continuing storyline from previous episodes. So really whats the problem with the second season? Cause all am hearing is whining and undeserved bashings from folks with short attention spans.",Arrested Development,
Enjoyable...cute date movie,"A movie you can just go to and enjoy..it's not trying to be something it's not , the actors we're good and the acting not bad ...lots of funny little scenes and a couple of tears...I enjoyed especially seeing the Hispanic actors and the subtitles didn't bother me at all. i had seen the original and liked this one better ..no frantic screaming from Goldie Hawn.I left the theater having enjoyed a movie without feeling like I had been hit over the head with a volume of Shakespeare or that I was left hanging waiting for the sequel or that somehow I was to know the deep dark secret the director wants me to know...just simply enjoyed a movie for entertainment sake",Overboard,9
"Redeemable, Yet Impeccably Clumsy","I was never a fan of the original, so I didn't really have any trepidations about them remaking a cheesy and outdated rom-com. However, I also didn't really see any need. I mean why not just make an original rom-com? It's been a dying genre for a long time now, and we can use a nice original romance. With that said, the new Overboard has some touching moments and a few fun performances, even if it's ultimately about as predictable and forgettable as you can imagine. At the very least, it provides a touching family based story with a global reach, while being a clumsy and unoriginal story of unintentional love.,5.6/10",Overboard,5
"Putting the ""vision"" in television.....","There was a time during what is commonly known as The Golden Age of Television when the medium was used to communicate. It was used to entertain, inspire, and evoke a connection with the people. There was time in television when the programs would challenge not only the standard, but also the viewer. It started with things like Sanford & Son and All In the Family. Then the Richard Pryor Show shook people to the bone. From these gems came further explorations of the comic genre. We were treated to things like The Simpsons, Married With Children, and Seinfeld. Shows that broke the mold of the typical sitcom formula. They found their actors and made them stars. They didn't take washed up has-been film actors and try to turn them into the affable characters that they obviously were not. They simply took fresh talent and gave them the environment to get better and eventually captivate. ,Then something terrible happened in 1993. A show, on what was supposed to be a music video network, got the idea to film real people living together in a house. From the first episode of The Real World, the Golden Age of Television was over. From this little show spawned a countless number of reality TV Shows that have paved the way for mind numbing experiences of watching people acting ""real"" while they are being filmed. It showed us all that not only is this medium of television completely unoriginal, but that it also provided people with insight into just how far somebody will go to get themselves on the airwaves. In 1994 something else happened. A little show called ""Friends"" hit the desk of the execs at NBC. From that we now have an endless string of formulaic, hokey, poorly written buddy sitcoms, all focusing on the same issues that plague the ""poor"" yuppie world that these people all seem to inhabit. Gone was the time when you didn't really need the laugh track; gone was the time of multi-plot line programming.,And then, something truly amazing and inspiring happened. In a collaborative effort from the Hurwitz Company and Imagine Entertainment came a brilliant piece of intelligent programming; a show that had no precedent. A truly talented ensemble cast, a brilliant writing team, and an amazing staff of directors and photographers that changed the art form like never before. Gone were the days of traditional, canned laughter sitcoms. It seems that we had all been saved from another infinite line of weak programs, and by whom? The FOX Network. Who would have thunk it? But then again, it made perfect sense. FOX brought us The Simpsons, Married With Children, and Family Guy. They had been known to challenge the bar that was set by regular programming. But instead of living on with those classics, it was forced to willow away in the doldrums of cancellation alongside other brilliant yet failed shows, like Action, Titus, and Greg the Bunny. Some people like to watch clichéd, overplayed, over done formulas every week. Some people like the safe humor, the one-two camera angles, the boring sets, and the canned laughter. Some people just don't want to think. The rest of usthe rest of us watch Arrested Development.",Arrested Development,10
First Season on DVD Disk 1 - Highly Recommended!!!,"We enjoyed re-discovering the amazing antics of the Bluth family and preparing ourselves for the much anticipated second season. Arrested Development is my kind of situation comedy. No laugh tracks, thank you for respecting our intelligence! When it's funny, we know when to laugh. There are lots of surprises, special guests, great acting and excellent writing. Ron Howard's narration is a bonus. When someone asks me what it's like, I compare it to ""Scrubs"" but less mean spirited and more family values. I hope it represents the beginning of a trend toward great but gentle humor. I'm just about fed up with ""reality"" programs. Thank you very much. Keep up the good work.",Arrested Development,
A retelling of a classic with a fresh perspective,"Fun, hilarious, and overall entertaining. This modern remake has plenty of material that differentiates itself as its own movie. Because of the gender swap, the film is able to retell this story in its own unique way.,The film acknowledges the 1987 version respectfully through some story beats as if to tell the audience that the filmmakers adore the original as well. It is heartwarming, charming, and a hilarious flick for both new audiences and fans of the classic.",Overboard,10
"Fun, fresh comedy","This movie is so fun, light-hearted, and at times a tear-jerker. The new cast lends its authenticity for a new spin on a great premise. I was literally laughing out loud at this movie, it was so refreshing to see a comedy that is ACTUALLY FUNNY! Eugenio Derbez is the perfect lead for this crossover film, and his on-screen chemistry with Anna Faris is undeniable. There's a big emphasis on the familial bond throughout, and the cast feels like a real family unit that learns to love one another. Love it, can't wait to see it again.",Overboard,10
Funniest Show in Television- Brilliant!!,"Annyong (Hello)! I absolutely love this show and so will you!  If you haven't seen it- give it a second week and you will be laughing at all the subtle things and be caught up on the storylines.  I usually tape it and watch it a second time with friends so I can catch the things that I missed the first time around or just because I like to watch it again!  Yes, that is Ron Howard narrating the show.  In an early episode the did make an Opie reference and last week Henry Winkler did a trademark Fonzie move in front of a mirror when they were combing hair.  Don't let FOX cancel another brilliant show!  P.S. Annyong is the Korean boy that Lucille adopted because Buster would not eat his cottage cheese (it might be one of those had to be there to understand)!  His name really is not Annyong- Annyong means Hello in Korean!",Arrested Development,10
writing as complex as DNA,"You know how Pixar movies are sprinkled with growed-up jokes that the kiddies won't get? But there's lots there for kiddies, too?,Arrested Development is like that, except that the episodes are sprinkled with jokes that geniuses will get, but there's lots there for normal people, too. AD is rich with layers that I have missed 3, 4, 5 times only to finally ""get it"" on the 4th, 5th, 6th viewing.,For instance, I can't quite get over how the show is riddled with jokes that depend on stuff that hasn't happened yet. That's absurdly difficult writing. It's like comedy the way God would write it, full of double and triple meanings, palindromic, executed with an masterful awareness of the whole project. It's ridiculous. As a writer myself, AD makes me want to sit in a corner and weep, because I have no hope that I will ever write anything this good, or even this complex.,Sigh.,I'm glad someone else did, though! Great stuff!",Arrested Development,10
Where are the real stars?,"What this movie lacks are REAL STARS. Kurt and Goldie were major stars when the original was made and they had great chemistry, (besides being a real life couple who are the parents of Kate Hudson)., and it showed on-screen. You can imagine the fights and arguments in the movie were so real-like because they had them in real life! All I can say is this is formula PC drivel, with the same ethnic jokes, same cultural differences that we have seen in comedies on tv and movies for years. Nothing new and because the ""stars"" are so forgettable, this remake will probably not be getting played for the next 30 years like the original that has become a comedy classic. When millenials do remakes, it's usually predictable and not really funny. Kind of like the fish taco from the food truck that millennials think is so great, waited an hour in line to get, paid DOUBLE, and the rest of us know it's the same old fish taco, just repackaged and doubled in price. When will the new Hollywood learn, STARS make movies. Original IDEAS are better than rehashed ones. Maybe the CGI is better, but it doesn't carry the movie., STARS and great writing does.",Overboard,3
The shills have arrived!,"I see the shills have arrived en masse with their 10/10 and one or two sentence reviews, to try to pull this dreck up from the murky depths where it rightfully belongs.
This movie is horrible. Possibly the worst remake of a fine classic movie that I have ever seen.
Poor casting, acting, no chemistry, the original stripped of all its charm and replaced with mean spiritedness and spite.,Save your money and watch the original.",Overboard,1
"The Greatest Comedy on TV ""nobody"" saw","I think this was greatly overlooked by the viewing public primarily due to it's layered humour, and self-referencing. In the vein of Seinfeld (but much better), it staged jokes woven within jokes that often had to be caught by the perceptive viewer. Coincidences were fashioned together to great hilarious plot elements and numerous sight gags are incorporated to emphasise the jokes. The narrator carries the story forward and often adds amusing commentary with sarcastic wit.,A must see and highly addictive! If you liked Seinfeld, The Office, Curb your Enthusiasm, you'll love Arrested Development. It will sorely be missed.",Arrested Development,10
Great Comedy Show,"This is a very well written and well acted show. The characters are very well thought out and interact in the best ways possible in order to create priceless comedy. ,I think it's too bad that the type of comedy in this show isn't valued very much by the American public. Here in Europe everybody loves and watches the show. In Great Britain it was a hit. ,I'm still hoping they make another season. Even if they have to find a new producer. Fox just dropped the show, as they do most good TV shows that come to surface. All in all it's worthwhile to buy the show on DVD! Great DVDs to have!",Arrested Development,9
It didn't need to be made but I don't care!,"Overboard was great! It was charming, it had tons of clever humor, and a very sweet story. Anna Faris shines as the main star and Eugenio Derbez is sooooooooooooooooooooo watchable. Check out Overboard when you have the chance, it is great stuff!,An A+ for sure or on iMDB, 10/10!",Overboard,10
Why does everyone hate it so much??,"I thought this was a fun little remake. Yes, I liked the classic original one better but this was so fun. It does not deserve a 4 star rating that's for sure. Hope more people who like it rate it because it was a fun cute little movie.",Overboard,10
Hilarious,This show is extremely funny but not for everyone. It doesn't just tackle hip hop culture it also makes fun of many modern day sociopolitical issues. I would recommend for people who are open minded.,Atlanta,9
Nice... very nice,"During the show's debut in 2003-2004, I would quickly turn off my television set when that ukulele started to strum at the opening credits.,I was dead wrong at what I would eventually envision.,After viewing several episodes, I found this to be a witty, and sometimes delightfully funny program. Droll, hardworking, and recently widowed Michael Bluth (Jason Bateman) has to endeavor with his father's (Jeffrey Tambor) imprisonment (in part to his real-estate company trading practices) his pampered mother Lucille (Jessica Walter), twin sister Lindsay, younger brother Byron ""Buster"" Bluth and his out-of-work oldest brother magician GOB. (or George Oscar Bluth II, pronounced ""Jobe""). After George Sr. is sent to prison, the unbearable family members turn to Michael to head the corporation and handle their funds. Through it all, Michael has a son, George Michael, a timid and rather confounded young man who idolizes his daddy, has a mild infatuation with his only cousin, Maeby (Lindsay's daughter), and is in charge of the semi-popular Bluth frozen banana stand at Newport Beach's Balboa Island. ,Not to mention the unexplainable Carl Weathers guest appearances, Ron Howard's uncredited narration, and brother-in-law Tobias' acting attempts, this program deserves its merit.",Arrested Development,
A Trainwreck Worth Watching,"The best way to describe the new Arrested Development season is this: You are all excited about taking a train ride with friends that you haven't seen in nearly 10 years, to somewhere, maybe a vacation of something. After the first hour of the train ride together you realize how slow trains are and start to get bored. By the 4th hour though something changes. Whether it be a loose bolt on the tracks or a penny on the rails, the train begins to crash. Everything is in turmoil, the one exception is your seat. Your one seat seems to be the only constant on this engine of turmoil and destruction. And you can't. Stop. Watching. By the last 3 hours of this you have completely forgotten about the slow and subtly boring start. You remember that in order for their to be a payoff, there has to be a set up. And it's at about this time that you stop panicking about the series being ruined and the 4th season being a failure. You finally get to appreciate all the set ups, all the subtleties, and you hold on for your life as the story comes to it's highest points. When it's over, you are left with a sense of euphoria and just a little bit of ""What the hell just happened"". The best part is that once you finish the season, it isn't over. The first episodes become more in depth and clear and are an entirely new experience to watch. You can basically watch the season twice and have two different experiences. The only constant is you, sitting in the middle of a train wreck, with your eyes widened in horror and delight, and you can't. Stop. Watching",Arrested Development,9
Blehhh,"Just one more shining example that Hollywood has lost its ability to come up with even one original idea. I'm not going to jump on the bandwagon and rail against Hollywood's blatant pandering to the PC crowd. That's been pointed out well enough. I'm just going to say that this movie wasn't funny. At all. Pretty sad when you consider they are marketing it as a comedy. Compared to this, the new Ghostbusters was a laugh riot. And that one sucked, too.",Overboard,1
Cant get enough...,"The dialogue, the script, the chemistry of the characters. Amazing. The dynamic of the characters is broad. I feel invested. I actually feel like it's true life. I'm from Baltimore and it reminds me of conversations with friends when I was younger. Darius is seriously my favorite character... everything about the guy. I'm still laughing about the gun shop scene. (dont think that's considered a spoiler),That was my review but they are making me fill more space. Just know that this is my FIRST review.. I think they deserve it.,Not many words here but I rave about this show to everyone.,Here's my 10th line.",Atlanta,10
"Very promising, great acting.","As a long time fan of Glover from Community, his stand up comedy, and even to his rapping (Childish Gambino), I was of course excited to see this show.,As a pale white guy from Ohio, I still found the show to be very enjoyable and with the way they did the first episode, it has a monumental chance to be successful. Darius cracks me up with how he thinks, he's exactly the type of quirky person you need in this type of show (assuming I know how it's going to continue), but he is basically the Daryl of Walking Dead. Everyone will love him and if he ever dies the show may go downhill without him.,Since I've been a fan of Donald since Community I may be a tiny bit biased, but he yet again seems to be a superb actor and I already felt connected to him and wanting him to 'win'.,It's no surprise Donald will turn this into an amazing series because he is a great actor and writer.,Just please don't kill Darius. How will we ever have rat phones if he dies?",Atlanta,9
Some guys don't get all the luck. Here it's funny and entertaining,"Looks like FX has once again found another island in the rough with their new show ""Atlanta"". Creator, Writer and Actor Donald Glover (no relation to actor Danny Glover) is that guy who everything seems to happen to him and/or around him. Featuring a primarily cast of color, Brian Tyree Henry, Keith Stansfield and Zadie Beetz (each established actors) will surely become household names with this series. Like some of my other favorite FX shows (The Americans, AHS, FARGO, You're the Worst), ""Atlanta"" is gritty, in-your-face and realistically captures a slice of life rarely shown on TV. ""Atlanta"" is an adult show about climbing the ranks into the rap scene, and surviving the neighborhood, that shouldn't be missed.",Atlanta,10
Brilliant Comedy.,"Arrested Development is a half-hour comedy that focuses on the Bluth family; a very affluent southern-Californian family who are forced together when their father George (Jeffrey Tambor) is arrested. Michael (Jason Bateman), his son, is ostensibly the protagonist, and he is the only one in the family who is by any definition ""normal"". Michael, a widower, is the only one with a job; he runs the Bluth Company in his father's absence in his own compulsive way, and is constantly thwarted in comedic ways by his family. Michael's older brother Gob (Will Arnett) is a magician - sorry, an ILLUSIONIST, who takes himself very seriously. Unfortunately for him, nobody else does. His botched attempts at performing his illusions are always hilarious, and always preceded by one version or another of the opening melody of Europe's ""The Final Countdown"". Michael's younger brother, Buster (Tony Hale), is a 30-ish mama's boy. He is socially awkward to the point that he fits the profile of a serial killer. Buster has no job, instead going to school after school to pursue various interests as strange and unrelated as Native American drumming and cartography. In the pilot episode he mistakenly identifies the blue area on a world map as the land. Lindsay (Portia de Rossi) is Michael's twin sister, an extremely vain, self-centered and sexually frustrated woman whose loveless marriage to Tobias Funke (David Cross), a frequently unemployed ex-psychiatrist/wannabe actor, is precariously balanced, to say the least. Tobias is a ""never-nude"" who wears cut-off jean shorts into the shower. Needless to say, this puts a strain on their sex life, and the couple are never happy; always in one form or another of therapy, or trying an ""open relationship"" and racing to entice members of the opposite sex into trysts that, for one reason or another, never work out. Lucille Bluth (Jessica Walter) is the matriarch of the Bluth family. She is rarely seen without a drink in her hand, and her biting wit and cruel barbs toward her children are doled out relentlessly. She is shrewd and manipulative, Michael has to work hard to stay ahead of the various plots and scams she is always concocting, which usually center around money and keeping her public image up to par. Michael has a son named George Michael (Michael Cera) who is studious and naive. He is wholesome and quite awkward, constantly striving for the approval of his busy father with his intense work ethic, and trying his best to suppress his lust for his cousin, Maeby (Alia Shawkat), the trouble-making daughter of Lindsay and Tobias.,The central plot point in Arrested Development is the imprisonment of George Sr. and the legal and financial problems the company encounters in his absence, but there are always so many subplots that there is something new and engaging happening in every episode. Nothing feels forced, in fact everything feels as if it was planned from the very conception of the show, though there is enough improvisation from the actors, particularly from comedian David Cross, to strongly suggest otherwise.,Arrested Development is, without a doubt, one of the best television shows that has ever aired. Every actor is perfect in his or her role, the dialogue is fantastic, the cameos and guest appearances are well cast and never lack substance. The narration by producer Ron Howard is always excellent and ties the story together expertly. The show is filmed in a natural, mockumentary style, usually with one camera panning from character to character rather than several cuts, in the vein of The Office. There is no annoying canned laughter, and the humor is cutting edge and sophisticated. There is a joke for everyone, nothing is taboo and nothing is wasted.,Despite it's overwhelming popularity, critical praise, and enormous fanbase, Arrested Development was canceled by Fox at the end of its third season, even having to cut it short by several episodes, due to poor ratings. It's cancellation is a testament to how out of touch Hollywood executives are. Everybody Loves Raymond can air for 10 years of formulaic mediocrity, but a show as brilliantly witty, daring, and relevant as Arrested Development can be cancelled after only 3. It's a travesty, and one in which the pain can only be lessened by repeated viewings of the old episodes on DVD. Do yourself a favor and buy the entire collection, it has great replay value and the joy of showing it to people who have never seen it cannot be stressed enough.,This is a superb show, down to the last detail, and deserves every ounce of praise lavished upon it. What are you waiting for? Go and watch it!",Arrested Development,10
Like a Sitcom From God,"Everyone like sitcoms in California. And since Arrested Development is based in California it's already won half the battle. But it still sticks out as quite probably one of the best sitcoms any of us are going to see, right up in the ranks of Seinfeld.,Although unlike Seinfeld, it has a plot. Michael Bluth (Jason Bateman) is naturally, unfairly put in the position of having to take care of his rather incapable family, as well as his own son, his father's housing business and his own problems. Each episode generally exists around a core conflict between one of the many cast members, either a family member or a family friend. As expected in any great sitcom, story lines weave in and out of episodes and fresh new material is put in to the show. The writers quite simply; extremely good.,Each and every character has their own personality and they feel, look and act real. Every character is just as spicy and well-developed as the next. Even the narrator is as heart-felt as the characters. The conflicts range from your typical comic plots to a few things that just might take you by surprise.,-- One thing that does stand out the fact there is no laughter audio in the background. Something that seems like a really good move and gives the show a distinct, more personal feel. It fits perfect in with the type of humor the series delivers. One more trademark is the re-run value. There are a bunch of things in the episodes, from props to lines that'll take a few viewings to actually notice they were said, making you maintain a level of interest on the show whenever you watch it again.,So all in all, Arrested Development is one of those shows that anyone can enjoy, whether you like this kind of thing or not. . . Not to be missed by anyone.",Arrested Development,9
throughly enjoyable!,"""Overboard"" (PG-13, 1:52) is a romantic comedy which is a remake of the 1987 film starring Goldie Hawn and Kurt Russell and directed by Garry Marshall. The 2018 version is directed by Rob Greenberg (in his feature directorial debut) and written by Leslie Dixon, Bob Fisher and Greenberg. It maintains the same basic plot as the original, but swaps the genders of the two main characters and adds some spice (and a lot of comedic opportunities), by casting a well-known Hispanic actor as the male lead.,Popular and influential Mexican actor-comedian-writer-director-producer Eugenio Derbez stars as Leonardo, a rich and totally self-absorbed Mexican playboy. As his entrepreneur father lay ill back home, the heir apparent to lead his father's company gallivants off of the U.S. Pacific coast on his hugely extravagant yacht (or ""floating orgy"", as his sister calls it). Meanwhile, his sisters, Magdalena (Cecilia Suarez) and Sofia (Mariana Trevino), hold vigil at their father's bedside, the former angling to see how she might become the one to take over her father's company when he dies, and the latter trying to mend fences after a contentious history with her father and make up for lost time, while there is time.,Anna Farris plays Kate, a working-class single mother of three girls. Kate works two jobs (as a pizza delivery driver and a carpet cleaner), while she struggles to pay the bills, raise her kids and finish studying for her nursing exam. She has the emotional support of her friend, Theresa (Eva Longoria), and Theresa's husband, Bobby (Mel Rodriguez), but that only goes so far. Things go from bad to worse when Kate's mother (Swoosie Kurtz) backs out on her commitment to help take care of the girls so she can pursue her dream of acting and then Kate has a run-in with Leonardo while cleaning the carpets on his yacht, he treats her very badly and causes her to get fired. And then... Kate receives an eviction notice.,One night, Leonardo gets drunk, falls off his yacht, washes up on shore and develops amnesia. Seeing his picture in the newspaper (and spurred on by Theresa), Kate shows up at the hospital and claims Leonardo as her husband. It takes some convincing, but Kate gets Leo (as she calls him) to come home with her, get a construction job (working for Bobby) and cook, clean and help take care of the girls so she can devote more time to studying. Leo eventually takes to this life (and even starts to thrive in it), while Kate and her daughters take to him. But what will happen after Kate finally takes her test?,""Overboard"" is thoroughly enjoyable! Farris and Derbez are both great comic actors who make a terrific comic duo - each doing some of their best work to date. Greenberg surrounds them with wonderful characters and gives everyone funny (and sometimes touching) things to say and do. This movie is predictable and not terribly realistic or original, but it sure is entertaining! ""A-""",Overboard,8
"Lot of bad ratings cause it's a ""remake""","I have read lots of reviews of this movie and mots of them are bad because it's a remake. They haven't even seen the movie and they are just hating it. Give it a try, believe me. It is funny!!! Don't expect a very well written storyline because it's a comedy, but the jokes are really well delivered. I will definitely watch it again and get it the Blu-ray of course!!! Thanks(:",Overboard,8
This show deserves a better review and a lot of love!,"The 1 star review that shows up when I looked this up on IMDb is ridiculous! I watch quite a few shows (way too many) and this one genuinely gets a smile on my face without cheap tricks, fake laughter, annoying punchline tunes trying to convince me what just happened was funny. ,The main characters in this show are already memorable in the pilot, they just have chemistry straight away. A lot of shows that I really love now didn't start off as well as 'New Girl' has for me.,The 'formula' feels fresh to me, I haven't seen this show before in another form and I absolutely love Zoey in this. Her personality in this show is exactly why I fall in love in real life. Just watched the third episode and I'll be sure to tune in next week!",New Girl,
I hate this show,"I have seen the first two episodes, when are the next ones coming?,I watched each episode almost a week apart. Each time I hated it. Each time the show ended it was only like 5 minutes. They show one or two scenes and the show is over. They better have 50 episodes per season to make up for this feeling.,Each time I checked & the runtime was just over 21 minutes so my computer is in on it too. I don't know how the director and producers of this show got my computer in on it but I know their plot. ,There is no way a show goes by this fast and is 21 minutes long!,Oh and the ""main"" character, Glover something, what is the deal with him? Is he a comedian or something. What is he trying to prove. I find myself laughing at the strangest and most uncomfortable situations while thinking of the scene and story at the same time. Why is he making me feel and think about the horrible situation while at the same time being entertaining and funny.",Atlanta,10
"A TV Show unlike anything that is out there right now, Atlanta is captivating, hilarious, and down-to-earth. Donald Glover has created a scintillating show.","Atlanta, created and written by the multi-talented Donald Glover presents an intriguing, dynamic chemistry between an enigmatic Earn Marks (Donald Glover) and the stern, hostile, hood-driven city of Atlanta. A college drop out, Earn Marks seems to be living life at the bottom of a pit; a broke father, estranged by his parents and engaged with an absurd relationship with a girlfriend who mothers his daughter (unclear) - everything seems bleak. However, when news breaks out that his cousin Alfred 'Paper Boi' Miles (Brian Tyree Henry) is now the new hot rapper on the block, Earn drops everything he is doing to pursue the job of being Paper Boi's manager. ,Even after having watched 3 episodes of the TV show, I still find it tough to pinpoint exactly what genre this absurdly riveting series falls under. While it pushes towards the drama section, the show is ridden with comedic bits. From the cinematography, to the acting, to the script, so far I have nothing but praise for Atlanta. Moreover, I cannot understate the rounded quality of the characters, to which I cannot end this short review of Atlanta without mentioning Darius (Keith Stanfield). ,The eccentric nature of Darius is precisely exemplified by the first meeting between Earn and Darius in Episode One (The Big Bang): Darius holding a plate of cookies, wearing a cooking robe and a bandanna, with a knife ready to attack in case of an intruder. Even though he is consistently under the influence of cannabis, from time to time, Darius exudes of intellectual and spiritual wisdom. As in Episode Two (Streets on Lock) when speaking about the violent altercation of the previous night, Darius explains ""As humans we are always close to destruction, life is (selfish) but a series of close calls I mean how would you know if you were alive, unless you are willing to die."",The TV Show Atlanta is an avant-garde in the African-American film industry and seems to be following the same footsteps of top quality shows like Power and How to Get Away With Murder. Donald Glover has created a grabbing story which only begs for more.",Atlanta,9
